# Generated by Log[com.rapidminer.datatable.SimpleDataTable]
# learning_rate	momentum	performance
0.3	1.0	0.7935483870967742
0.2	0.8	0.832258064516129
0.5	0.5	0.8064516129032258
0.1	0.4	0.8580645161290322
0.7	0.0	0.8193548387096774
0.8	0.2	0.832258064516129
0.4	0.1	0.8129032258064516
0.6	0.9	0.8193548387096774
4.9E-324	0.1	0.5612903225806452
4.9E-324	0.0	0.3935483870967742
4.9E-324	0.2	0.44516129032258067
0.4	1.0	0.7935483870967742
0.3	0.8	0.8258064516129032
0.2	0.4	0.8516129032258064
0.9	0.2	0.8193548387096774
0.7	0.9	0.8
0.8	0.0	0.8129032258064516
0.5	0.1	0.8387096774193549
0.6	0.5	0.8193548387096774
0.1	0.0	0.864516129032258
0.1	0.1	0.8516129032258064
0.1	0.2	0.8516129032258064
0.5	1.0	0.7935483870967742
0.4	0.8	0.7935483870967742
1.0	0.2	0.832258064516129
0.3	0.4	0.832258064516129
0.9	0.0	0.832258064516129
0.8	0.9	0.8193548387096774
0.7	0.5	0.8064516129032258
0.6	0.1	0.8516129032258064
0.2	0.0	0.832258064516129
0.2	0.1	0.8129032258064516
0.2	0.2	0.832258064516129
0.6	1.0	0.7935483870967742
0.5	0.8	0.8516129032258064
0.9	0.9	0.8064516129032258
1.0	0.0	0.8258064516129032
0.4	0.4	0.832258064516129
0.8	0.5	0.8580645161290322
0.7	0.1	0.8064516129032258
0.3	0.1	0.8129032258064516
0.3	0.0	0.8258064516129032
4.9E-324	0.3	0.5225806451612903
0.3	0.2	0.832258064516129
0.7	1.0	0.7935483870967742
0.6	0.8	0.7870967741935484
0.1	1.0	0.7935483870967742
1.0	0.9	0.8387096774193549
0.5	0.4	0.8451612903225807
0.9	0.5	0.832258064516129
0.8	0.1	0.7870967741935484
0.4	0.2	0.8387096774193549
0.4	0.0	0.8129032258064516
0.1	0.3	0.8258064516129032
0.9	0.8	0.7870967741935484
0.8	1.0	0.7935483870967742
0.2	1.0	0.8
0.7	0.8	0.8129032258064516
0.6	0.4	0.8064516129032258
0.9	0.1	0.8387096774193549
1.0	0.5	0.8451612903225807
0.5	0.2	0.8258064516129032
0.5	0.0	0.8387096774193549
0.2	0.3	0.8516129032258064
1.0	0.8	0.832258064516129
4.9E-324	1.0	0.3741935483870968
0.9	1.0	0.7935483870967742
0.8	0.4	0.8516129032258064
0.8	0.8	0.8387096774193549
0.7	0.4	0.8516129032258064
1.0	0.1	0.8258064516129032
0.6	0.2	0.832258064516129
0.6	0.0	0.8129032258064516
0.3	0.3	0.8
0.9	0.6	0.832258064516129
4.9E-324	0.6	0.5096774193548387
4.9E-324	0.9	0.4967741935483871
1.0	1.0	0.7935483870967742
0.7	0.2	0.8516129032258064
0.9	0.4	0.8451612903225807
0.1	0.9	0.8258064516129032
0.1	0.6	0.832258064516129
0.1	0.5	0.8387096774193549
0.4	0.3	0.8258064516129032
1.0	0.6	0.832258064516129
1.0	0.4	0.8064516129032258
0.3	0.5	0.8258064516129032
0.2	0.9	0.8129032258064516
0.8	0.3	0.8193548387096774
0.4	0.5	0.8451612903225807
0.5	0.7	0.8258064516129032
0.2	0.6	0.8258064516129032
0.2	0.5	0.832258064516129
0.5	0.3	0.8516129032258064
0.1	0.7	0.8
0.5	0.6	0.8129032258064516
4.9E-324	0.7	0.45161290322580644
4.9E-324	0.5	0.45161290322580644
0.3	0.9	0.8193548387096774
0.9	0.3	0.832258064516129
0.3	0.6	0.8387096774193549
1.0	0.3	0.7806451612903226
0.6	0.7	0.8258064516129032
0.6	0.3	0.8516129032258064
0.4	0.6	0.8387096774193549
0.2	0.7	0.8064516129032258
0.6	0.6	0.7806451612903226
0.9	0.7	0.7806451612903226
0.4	0.9	0.8451612903225807
0.7	0.6	0.8387096774193549
0.8	0.6	0.8258064516129032
0.3	0.7	0.8193548387096774
0.7	0.7	0.832258064516129
4.9E-324	0.4	0.6064516129032258
0.5	0.9	0.8129032258064516
0.4	0.7	0.8064516129032258
0.8	0.7	0.7806451612903226
0.7	0.3	0.8064516129032258
1.0	0.7	0.8064516129032258
0.1	0.8	0.7935483870967742
4.9E-324	0.8	0.3935483870967742
